iter	RMSE
0	0.6098704053
1	0.6074841496
2	0.6051744983
3	0.6028592632
4	0.6005813738
5	0.598362426
6	0.5961552243
7	0.5939954307
8	0.5918767159
9	0.5897721646
10	0.5877056043
11	0.5856769381
12	0.583677146
13	0.581811472
14	0.5798502061
15	0.5779265925
16	0.576127741
17	0.5742455147
18	0.5723941069
19	0.5705665086
20	0.5688455843
21	0.5670560885
22	0.5653038297
23	0.5635782289
24	0.5618847685
25	0.5602845056
26	0.5586843157
27	0.5570988209
28	0.5555452303
29	0.5539421146
30	0.5523459359
31	0.5508320789
32	0.5492868216
33	0.5478260352
34	0.546313226
35	0.5448031194
36	0.5434047494
37	0.541936792
38	0.5404973332
39	0.5391217909
40	0.5377703978
41	0.5364310213
42	0.5351151867
43	0.5337507287
44	0.532390497
45	0.531074577
46	0.529814407
47	0.5285080939
48	0.5272269498
49	0.5260105042
50	0.5248147067
51	0.5236085302
52	0.5223874264
53	0.5212106291
54	0.5200181092
55	0.5188887063
56	0.5177515706
57	0.5166347714
58	0.5154950264
59	0.5144626917
60	0.513358591
61	0.5122977403
62	0.5112559004
63	0.51019274
64	0.509122288
65	0.5081135367
66	0.5071216276
67	0.5060898674
68	0.505082699
69	0.5040942973
70	0.5031431704
71	0.5021977701
72	0.5012259768
73	0.5002636119
74	0.499315589
75	0.4983807973
76	0.4974830107
77	0.4965871721
78	0.4957006238
79	0.4948322372
80	0.4939778674
81	0.4931455893
82	0.4922599487
83	0.4913953763
84	0.4905737721
85	0.4897688938
86	0.4889659187
87	0.4881436986
88	0.4873618775
89	0.486569889
90	0.4857928158
91	0.4849917961
92	0.4842427355
93	0.4834541625
94	0.4827177941
95	0.4819451441
96	0.4812306829
97	0.480436436
98	0.4797086378
99	0.4789810153
100	0.4782746145
101	0.477583715
102	0.4769054831
103	0.476220229
104	0.4755607874
105	0.4749030152
106	0.4741559356
107	0.4735103075
108	0.4728829195
109	0.4722262249
110	0.471629689
111	0.4710111116
112	0.4703636527
113	0.469736418
114	0.4690272703
115	0.4684057555
116	0.4678255923
117	0.4672174318
118	0.4666114647
119	0.466043912
120	0.4654557809
121	0.4648793559
122	0.4643228854
123	0.4637867565
124	0.4632487241
125	0.462722111
126	0.4621931481
127	0.4616553479
128	0.4610950711
129	0.4605648953
130	0.4600340238
131	0.4595034933
132	0.4590082253
133	0.4584732349
