iter	Passed	Remaining
0	4	4542
1	7	3793
2	10	3463
3	13	3315
4	16	3200
5	18	3114
6	23	3270
7	25	3181
8	28	3117
9	31	3116
10	34	3095
11	37	3094
12	40	3076
13	43	3068
14	46	3066
15	49	3074
16	53	3087
17	56	3075
18	59	3058
19	62	3038
20	64	3023
21	67	3008
22	71	3019
23	74	3013
24	76	2999
25	79	2979
26	82	2959
27	86	3004
28	89	3009
29	92	2995
30	95	2987
31	98	2984
32	102	3016
33	106	3020
34	109	3009
35	112	3019
36	115	3011
37	119	3013
38	121	3004
39	124	2988
40	127	2976
41	130	2973
42	133	2960
43	135	2951
44	138	2947
45	142	2950
46	145	2956
47	150	2982
48	153	2975
49	156	2973
50	159	2960
51	162	2953
52	165	2948
53	167	2934
54	170	2926
55	173	2918
56	175	2908
57	179	2908
58	181	2900
59	184	2894
60	187	2881
61	190	2881
62	193	2882
63	197	2883
64	200	2885
65	203	2884
66	206	2879
67	210	2888
68	213	2880
69	216	2877
70	219	2869
71	222	2864
72	225	2863
73	228	2863
74	231	2860
75	234	2856
76	238	2853
77	241	2858
78	244	2853
79	248	2853
80	251	2850
81	254	2848
82	257	2847
83	261	2846
84	264	2843
85	267	2840
86	271	2848
87	274	2846
88	277	2837
89	279	2827
90	282	2821
91	286	2824
92	289	2819
93	292	2821
94	296	2820
95	299	2819
96	302	2813
97	305	2809
98	307	2802
99	310	2796
100	313	2790
101	316	2784
102	318	2777
103	321	2771
104	324	2764
105	326	2756
106	329	2753
107	334	2762
108	337	2758
109	339	2749
110	342	2745
111	345	2738
112	348	2734
113	350	2727
114	353	2719
115	355	2709
116	357	2701
117	360	2691
118	363	2687
119	366	2684
120	369	2680
121	372	2677
122	375	2679
123	379	2678
124	382	2679
125	385	2673
126	388	2668
127	390	2662
128	393	2656
129	396	2650
130	398	2641
131	400	2633
132	402	2626
133	405	2617
134	407	2609
135	411	2614
136	414	2608
137	416	2602
138	419	2598
139	421	2591
140	425	2589
141	427	2583
142	429	2576
143	432	2569
144	434	2562
145	436	2554
146	438	2547
147	441	2543
148	444	2537
149	446	2530
150	448	2523
151	451	2518
152	453	2512
153	456	2506
154	458	2499
155	460	2492
156	462	2485
157	464	2477
158	467	2473
159	470	2472
160	473	2469
161	476	2465
162	478	2458
163	480	2450
164	482	2444
165	486	2445
166	489	2440
167	491	2435
168	493	2428
169	496	2421
170	498	2414
171	500	2410
172	502	2403
173	504	2396
174	507	2391
175	509	2386
176	512	2382
177	514	2376
178	517	2374
179	519	2367
180	521	2361
181	524	2355
182	526	2349
183	528	2344
184	531	2339
185	533	2334
186	535	2328
187	537	2322
188	539	2316
189	542	2311
190	544	2305
191	546	2300
192	549	2296
193	551	2290
194	553	2285
